timestamp,id,duration,billed,memory,memUsed,init,logStreamName
1669812327289,ed55628e-aeaf-4ed6-b1ad-871d9e24a0bf,186.93,187,3008,90,708.63,2022/11/30/[1]cf6ea7a764784cb29902d8bedd2e9884
1669815927065,4fae3f43-6032-4f48-ae1a-343d903be1c8,96.88,97,3008,90,383.07,2022/11/30/[1]2696d99313b44bdc87fef96e7b93870e
1669819527223,3d5abeaa-d808-4884-a85e-98f8d7693bb2,94.45,95,3008,90,346.55,2022/11/30/[1]7e8fa8d5bdb440ccb1a9b5fc03525d24
1669823127302,78d3ec37-de4a-4ac0-bbc1-782fbd6d652a,100.39,101,3008,90,353.55,2022/11/30/[1]6c93e5abcb9b49588c56fa6d562ec6e7
1669826727263,c20787b2-2a7c-457f-a222-ccf534ca70e9,100.95,101,3008,90,333.32,2022/11/30/[1]7e63c14b4e6c44ea9465ae0d7085b3d2
1669830327026,4a99fb52-3aad-46df-ba8b-6b4a0b01d4f0,94.11,95,3008,90,319.15,2022/11/30/[1]25caaf1641124064a1c9ec1cd43f7a6c
1669833927228,cc48cda3-d610-4d91-b38e-5e989cf7753b,106.90,107,3008,91,386.77,2022/11/30/[1]b2258e0af902487ca018e50b43a7ecb9
1669837527014,9f23e12c-6fb2-44c0-ac58-d6c239635844,91.64,92,3008,90,357.86,2022/11/30/[1]db707cb76cb94011a8b51811f4595181
1669841127473,39e11b9a-3167-4ec7-96ab-5aaa4e3dc2bb,103.84,104,3008,90,416.03,2022/11/30/[1]97c513a7385d4877b92b03707727f440
1669844727025,d4032d78-4afd-4d1c-afec-e543299bd8cb,97.73,98,3008,90,382.11,2022/11/30/[1]1894d94dc8cd48f1b87314e1d02f31fa
1669848327288,0325c926-7bae-40c1-8196-a9a242fba244,97.39,98,3008,90,354.75,2022/11/30/[1]1681ca95c05245c5be1ed1f1e3ca73e6
1669851926900,7c10faa9-e5a1-454b-9607-6ddb9c1161bf,112.90,113,3008,90,343.03,2022/11/30/[1]3d6c2fb23142470a86c595354f6bf6ce
1669855527033,1fcff61a-7a1c-4df1-8bb1-4935f4bf2b73,95.27,96,3008,90,340.75,2022/12/01/[1]81c2d0359fd24df7996d5c910517130c
1669859127128,e7da8321-eadc-4061-bddc-5ce1435363f6,90.32,91,3008,90,322.57,2022/12/01/[1]bd49da2dd3b14de39d7fe8b8656a531b
1669862726945,a6696d23-7335-49dc-ad73-cbd5d845024c,95.75,96,3008,90,325.03,2022/12/01/[1]7afcb13729c24647845bce9f284423e1
1669866327067,bbbdb775-185d-4f4f-a39a-e85073bd222c,89.83,90,3008,90,327.35,2022/12/01/[1]47415b9de71e4a2bbfd8e8d76efb07e8
1669869926946,87345f68-e45c-4aa3-a95d-a711a18eb1c0,89.95,90,3008,90,327.49,2022/12/01/[1]85eb085a39844fe09282690f12fd7eb4
1669873527031,8a29aacb-eeb0-4b76-8d57-92ba76aaa039,89.88,90,3008,90,327.69,2022/12/01/[1]51d8aec307b249ea9c0688c3428674a4
1669877127040,8b090747-9538-4956-895b-ae103c1de5d8,87.84,88,3008,90,306.91,2022/12/01/[1]4b17057d577e4962ad2043239952356e
1669880727253,db0e5695-2750-4dc7-98f3-7e589b4e691d,101.61,102,3008,90,329.06,2022/12/01/[1]f41e135e866f4ae5b51ef951a65ad301
1669884327050,adef87e5-9b45-49bd-bed8-a942697e59fa,126.44,127,3008,90,436.73,2022/12/01/[1]bb9439a504864565a2473707b3f5cfa4
1669887927313,b97d5187-7c99-41a4-99bb-a65b438d4890,88.10,89,3008,90,313.33,2022/12/01/[1]63490f61a97245fe8c341faa5af2973e
1669891526949,0d47dcca-7afb-403f-ba14-94d233b9e659,95.91,96,3008,90,350.33,2022/12/01/[1]b7656c0ffa1443e68564039e739012ca
1669895127104,2de62f02-de49-4ead-b509-6c2d40e6e4fe,93.01,94,3008,90,315.25,2022/12/01/[1]daf76324115c42208dfdda572f7d8c61
1669898727147,251be207-3887-491d-82ce-5f3e8dc74a22,93.64,94,3008,90,539.12,2022/12/01/[1]06741e9cdb8e44229a037dcf4874b9b7
1669902327315,dd07581b-21d1-41d6-92fd-2999be01ff0a,95.71,96,3008,90,390.52,2022/12/01/[1]88bd3a64503c43868ec0b54f2235c341
1669905927304,aea874c8-cac4-4bd5-b2dc-395a7c368c6b,92.93,93,3008,90,361.33,2022/12/01/[1]cb2c55194e074c7cb83d3dda99f8b071
1669909527061,bc2e1e93-c3d9-408c-8d2b-d439bee6e7a0,82.87,83,3008,90,300.31,2022/12/01/[1]1bfebb53e10a47da9537726e245d1804
1669913126928,42dbb4a4-0045-40f2-b4e1-aaa9f2d5e4a9,97.52,98,3008,90,359.26,2022/12/01/[1]0a76443af2ad40ba91fb04aa18765455
1669916727582,d5d4c3a6-53be-4981-af8f-e623abe37120,123.18,124,3008,90,406.44,2022/12/01/[1]700ed3aa7a4149b08f2cbbe560eaff10
1669920326988,a2e08ea2-4838-4973-a254-69b9185f8375,93.33,94,3008,90,345.36,2022/12/01/[1]4097acefdeac4a14a95eb4231262e3f5
1669923927078,dd3fcaf9-8db7-45e7-a904-01eb17e6b89c,99.55,100,3008,90,345.46,2022/12/01/[1]12dfb52f0f004120b07504c1943b14a4
1669927527063,065b0746-7750-491e-8ce6-ff8c3a98aacf,109.03,110,3008,90,372.38,2022/12/01/[1]35fc606cec6c427f83a9597de92bc17e
1669931127110,4afbc703-2bc5-4ade-aa71-fa01100dcd61,90.06,91,3008,90,320.06,2022/12/01/[1]9257a3743e4442809fc3b1ba50a71947
1669934727278,6f3a791d-066b-45fa-88f5-a70cb80c72c0,90.30,91,3008,90,315.41,2022/12/01/[1]3a4d0c6fb7384d409068202cc4554297
1669938327113,fe1b0064-1f4f-49e4-b985-eb63493e269e,89.20,90,3008,90,330.21,2022/12/01/[1]371ccd1153d342de86a7daddd225dbff
1669941927182,a1fc2e79-3401-42fa-89af-bca4d582540d,92.82,93,3008,90,309.71,2022/12/02/[1]f45505577f464212b38711f1ab65038e
1669945526800,b010b184-a6b5-42eb-ace4-8a5a4e2968d9,95.17,96,3008,90,330.41,2022/12/02/[1]e6386e406f3b44d0814d62839a74cbd9
1669949126762,f6c33036-7b47-44fe-93b0-650dfa705ca3,93.39,94,3008,90,316.19,2022/12/02/[1]72622f6dd05d4761a10af6d5b301f842
1669952726927,99b362ad-61cd-4511-beb0-ca432c27587b,89.72,90,3008,90,321.38,2022/12/02/[1]54ee791a0ba04386bc0eb58f66b6e7e8
1669956327286,f2a1d1bc-46ce-449c-827f-e6876daa448f,88.63,89,3008,90,313.55,2022/12/02/[1]71e86216d10a4f179133d2a469bb92ea
1669959927081,b2b8e861-cdd0-481f-9d1a-f7e2bf756b83,154.12,155,3008,90,391.64,2022/12/02/[1]f4acce4fe21b4d219fa0a6bf3540ff90
1669963526976,bc65456d-fb80-440f-87bc-7fb30c91e247,87.22,88,3008,90,332.76,2022/12/02/[1]c8bb40cd69bd41009c2d71e69b89c587
1669967127371,03862c2c-1938-496b-b3ca-939606a5f1a4,95.10,96,3008,90,422.66,2022/12/02/[1]6af6cad878a445ddb4a78fbf90eaf090
1669970727387,f2c5746c-af11-4d2b-b27a-5c2c20056583,91.77,92,3008,90,330.71,2022/12/02/[1]b604c6d5fed74e1f9458505e3db61377
1669974327180,d1f54860-799c-4c1e-a74e-c412480c0d13,89.91,90,3008,90,349.67,2022/12/02/[1]13086d38ef284dce8c7d68637804e7d0
1669977927854,f1fafc54-f822-4225-8f89-7651a27f3ea8,102.20,103,3008,90,374.65,2022/12/02/[1]464d32e0b3b14480a9ba10eee93fa461
1669981527106,b5b9b259-37c8-4c78-9ed7-63b9565d6d79,94.66,95,3008,90,328.28,2022/12/02/[1]c377684cbdd14338b2f141442bccfc85
1669985127184,fa8ac3dc-1cd1-40bb-b521-dd4debbc596c,97.84,98,3008,90,381.19,2022/12/02/[1]37e32f216ec141ca9614349dec739c73
1669988726985,0c86d1f6-1100-48cd-a947-bc33f536b447,91.15,92,3008,90,331.40,2022/12/02/[1]a7061a18d721413cb56059fa3017c6d6
1669992327163,7781d612-2fec-4b76-896a-9796cce25b5f,90.68,91,3008,90,384.20,2022/12/02/[1]da2e72c967b145599040dfe08a630a22
1669995927144,05d613d0-a2de-4fed-944a-b8155d5fad91,94.70,95,3008,90,434.50,2022/12/02/[1]557e1cca4ea3417c92a61210af3c83a1
1669999526929,3c054155-87d6-4dfe-bd11-ea33a1d3ef40,105.89,106,3008,91,387.01,2022/12/02/[1]e16608a7f84c4ddb97991fbe2649a769
1670003127117,203a59bc-e165-44bb-934d-ddfaed7b5700,93.42,94,3008,90,322.35,2022/12/02/[1]ebabfb13ebe444d49dce8efee26e22c7
1670006727050,8eabe600-1f0c-440e-a1ed-0a3ab56fa4e8,91.52,92,3008,90,338.53,2022/12/02/[1]a6d79a5f44184a9793808c9421ccf105
1670010327215,7afdbf06-9bc4-445f-8e38-a1fb5d67788a,123.27,124,3008,90,337.90,2022/12/02/[1]a1727a027eb345f2ba44838072c6bdb8
1670013926706,8329a63d-b024-471c-a758-5ddb5509b79d,90.27,91,3008,90,311.60,2022/12/02/[1]7df73315ae514d8badfa7387647f1ef3
1670017527186,ee4210c4-3bc7-4ad4-a8b7-54f3857f995d,97.11,98,3008,90,342.45,2022/12/02/[1]ab593614cd0e492eb4e3915d9a029f66
1670021127127,e116ebd4-e61b-4f2a-87a8-81073728f55d,95.35,96,3008,90,349.01,2022/12/02/[1]5978b1943a7a4192bf8f13348d00215f
1670024727252,0e9180fe-98fb-4f35-ab12-05280228c236,92.75,93,3008,90,321.02,2022/12/02/[1]2bc31749929345c88539dbd7cfdacb27
1670028326877,86cc5e08-4e9f-4515-af17-e5140c07d419,103.59,104,3008,90,386.47,2022/12/03/[1]0cdf40029f5d4fa8925f89241d67efe2
1670031927518,a9d202b5-0e3f-4979-b3b4-4df46659ffef,89.52,90,3008,90,334.95,2022/12/03/[1]c2f1f092a1824ddaaea49670d60d4d2f
1670035527235,ff09b4f2-c85c-4436-b26e-0b3a7b105ed6,91.25,92,3008,90,324.90,2022/12/03/[1]b8fa51a0759046c9a6697721dcc51d44
1670039126831,91d38297-7ffc-43d7-961c-40a2a9d2980b,99.89,100,3008,90,352.80,2022/12/03/[1]d806e04c96764573841ace3d5009082c
1670042726965,3f3a90a6-cecc-43d4-b6bf-68c396fa085b,90.91,91,3008,90,315.44,2022/12/03/[1]c350a93ca8c745ac94acd28a4636ba00
1670046327146,2293a5cc-d168-40f9-8e28-e5a19f4ed4c6,90.53,91,3008,90,323.45,2022/12/03/[1]7f8f7606d87b4351af1962d02d911590
1670049927142,5b639d07-cdc8-48cf-aecc-5d1026736947,101.64,102,3008,90,353.23,2022/12/03/[1]0a7315dc3e8b41bbb2bdf3d1da83b47b
1670053527154,b782e49f-0adc-4548-b704-1f6f2482cc87,92.52,93,3008,90,335.73,2022/12/03/[1]063a81c231834c878fa36b09ccbb79f4
