timestamp,id,duration,billed,memory,memUsed,restore,logStreamName
1669787119326,72af6d08-81b2-412a-a7a9-dad636a21eb4,113.56,202,3008,89,144.27,2022/11/30/[1]be18a9692fc84647acae33c91c8366ae
1669790719299,9f38110d-8632-4b0f-b51c-0575fd3cf2d0,104.89,210,3008,86,170.11,2022/11/30/[1]1c0bf33348e94922b9dd2fb5d043d8c8
1669794319280,e1ac41a2-5cac-4562-9da7-b843540d8cfb,109.94,214,3008,88,159.58,2022/11/30/[1]2fed8181fad740839a4cfdd51769435e
1669797919138,0a7387e5-3f74-468e-9d15-9644120e4c9e,119.92,209,3008,89,120.53,2022/11/30/[1]a3d642f53a7e4cfc9d7dff1212e98fda
1669801519311,5b373b99-acd7-4a28-b25e-4102adc7483e,118.60,195,3008,89,151.27,2022/11/30/[1]ca9a2f3691e0446980c1686044567b26
1669805119375,1fa2caf5-9b35-429d-a817-e132fe137843,104.61,214,3008,86,119.76,2022/11/30/[1]bd72b630eaf9406b9106eadb9ed42c32
1669808719405,2140a448-3f47-4782-93a5-91b2824cb386,112.49,237,3008,86,190.62,2022/11/30/[1]5f71b42ad2864e8399bbf974c6a1d3be
1669812319260,e24cfc0a-2bd2-400d-b560-dda8abbe0671,115.40,242,3008,86,186.72,2022/11/30/[1]07f8fecb176b45888a8e9b2b4f1bcc11
1669815919256,34c61296-91ce-49e0-a445-f6ee0feca329,113.73,206,3008,88,131.65,2022/11/30/[1]e53838bc507d435bab3d30708c8361d6
1669819519380,9ca524de-839b-4286-9331-4544c1e08a9a,133.45,245,3008,86,169.43,2022/11/30/[1]5f01d12e9d764bd3aca75b9d140ca74d
1669823119503,18dd7bd2-b34d-49c3-a5c6-516e1eec59ab,111.78,236,3008,86,186.57,2022/11/30/[1]9a3f0a1734a84006a50100a3c8364e2e
1669826719253,b67a9ebc-28e4-4b25-885d-fc94830c774f,104.75,251,3008,86,218.58,2022/11/30/[1]ce1f4e8783bd42fa8d9257b7caf903c8
1669830319513,2aef3961-a806-4e34-b5cb-3fa2d1479a36,124.60,219,3008,88,158.00,2022/11/30/[1]70232d0a8e3349cba650e0e11ba615df
1669833919335,4b221030-97d6-4a79-9126-24ba7f7b556c,148.83,306,3008,86,209.71,2022/11/30/[1]3f1cd5d78d93451a9abdf248be5887fe
1669837519365,a7f561c1-8e2d-4f44-a536-6bfcfa624850,99.86,209,3008,86,158.42,2022/11/30/[1]372f5e24ab934040acad6cd4d78c5193
1669841119276,5acd60bb-0777-4bf3-8b38-85a262c7f335,114.30,195,3008,90,116.58,2022/11/30/[1]d06f40b791b74f2aa732ea827c172ed3
1669844719552,f30428e8-25cd-4faf-a576-5ceb02ec3c2a,115.05,199,3008,89,140.95,2022/11/30/[1]5e7fa47b477843118de96f6d45fb38bf
1669848319171,f0315a19-7c4d-43a2-abf3-5c5b546aaa39,107.97,195,3008,86,200.97,2022/11/30/[1]1c1c1f20ad7648a2a3fb3eb7df753127
1669851919290,c608514b-74ee-4ad2-816e-8fe9fc195450,100.29,207,3008,86,163.84,2022/11/30/[1]e758cde8dc364f7d9815b4c5bab8614a
1669855519247,51cf22a7-1591-4214-9c77-ce7d938919b3,119.05,210,3008,89,124.91,2022/12/01/[1]5075a76926c847a1a08bfd8a17f672a6
1669859119412,6cc377f9-99f2-4028-a398-8435c2a464a0,121.13,206,3008,89,136.28,2022/12/01/[1]4cd436c5bf2d4e2d9dcf40d22040c0e4
1669862719220,10d6e7e1-389f-4eb4-8dfb-95509b5992bc,117.87,242,3008,86,188.13,2022/12/01/[1]ad39e48834964dd3bf5ef3db4256adec
1669866319353,b237fb40-53b5-40eb-8153-638c63fcde59,111.89,213,3008,86,190.63,2022/12/01/[1]dfafca4d4b834e729e2bbab9a1f04c56
1669869919275,29d200d3-2370-4a29-879a-4cf27584b570,133.75,222,3008,88,122.98,2022/12/01/[1]fb675a92da8d410d919a12dc83862b0e
1669873519363,34c4aeb0-c939-4171-a60d-db218fff10c8,140.19,248,3008,88,158.37,2022/12/01/[1]bbba1499b7794185834927d5f9864db9
1669877119120,81382a60-613a-4a49-8c8e-f831c042234d,110.07,186,3008,90,118.44,2022/12/01/[1]4c7013bbc11f44ceaeb59e9a85210aae
1669880719322,249b6f5f-e91c-451e-804f-f60cc4589f9c,133.44,226,3008,89,131.97,2022/12/01/[1]96ebbbf7e6cb485db02d30166f5377bf
1669884319848,dab05cb4-ff9a-47a4-b7ac-8bb70bdf318f,110.69,236,3008,86,200.86,2022/12/01/[1]dd853e62641e443897902a678b8d6bb7
1669887919363,94e82444-3a42-47ec-8bcb-73b0a5bff6bf,139.26,226,3008,88,131.45,2022/12/01/[1]12a5f3dac4194a0396947228327f2418
1669891519431,293b2121-8bda-4243-9660-507814ae69dd,118.98,264,3008,86,215.01,2022/12/01/[1]e53fb2fcfc4347939288dbd31db5b0f4
1669895119384,a862ab3a-7d89-49ff-9b3a-89b4b68ff530,108.72,233,3008,86,203.06,2022/12/01/[1]ac21c9b7aa3147f9865c2827807ead6c
1669898719314,60d9bf8b-3e63-4c40-87b3-376f1a602ef1,133.73,306,3008,86,246.69,2022/12/01/[1]6cc82d5bdb1d44de9fcd6111e2be6c0c
1669902319178,6d680919-db28-4220-b601-6e1338a7de3d,113.88,240,3008,86,179.55,2022/12/01/[1]f7c00cd592f946a9ade89d9adfda85a9
1669905919836,fe6f8b19-a6cb-47f3-9b8c-c011eab20a6d,183.05,346,3008,86,259.70,2022/12/01/[1]679be31cff2747629ad1e0cbdfeb9fe7
1669909519431,41f9d4c4-c4e6-4187-87ae-a5954f0a2ee7,115.82,268,3008,86,220.20,2022/12/01/[1]09fe0b9b96a64c6885b30c280b99006d
1669913119443,5336b40c-4bce-4c53-a766-dc21c5a24857,107.75,204,3008,86,152.51,2022/12/01/[1]6e4525b6d8a64682bb4e8de586f731d0
1669916719583,55df554b-f4c9-4e35-951b-dc2a46363140,224.66,444,3008,86,263.89,2022/12/01/[1]2674446a429b407290545994111a8845
1669920319429,46eca8fa-caf3-4b96-803b-2af7f28dbef5,134.25,296,3008,86,221.07,2022/12/01/[1]7bf6a295ec8a4ef4b535019454400f6d
1669923919461,efe9a019-7ca2-42a4-a4f0-2bd7a4e0b5ef,124.87,281,3008,86,305.58,2022/12/01/[1]002b6d8ae80f4d80936c3af50739386d
1669927519061,e364c279-ff6a-4a99-aa5b-9d348ebdb8e6,105.47,217,3008,86,164.79,2022/12/01/[1]6c255cc95a1d454d8d0106b0e5624a17
1669931119491,13df81d8-c794-4b27-aafa-d11db40fd74a,100.61,233,3008,86,169.80,2022/12/01/[1]af885bb6c8574a38b27f8316acf8ab8f
1669934719017,8d4490d3-0bb2-4d32-a721-5f443c637e5d,112.77,189,3008,89,114.52,2022/12/01/[1]a978137da7214e2ea876cd319584e94e
1669938319110,59afcd91-4f0d-45b5-8492-c837c06275ce,88.11,162,3008,90,108.20,2022/12/01/[1]8ba97d7d133e4874afed1b076b0419f6
1669941919339,8dde8c58-1715-4dab-a767-3b3636863a8d,118.18,201,3008,89,128.71,2022/12/02/[1]b141be9b537f4c51b0e1b98065c27807
1669945519055,a13c2581-2a6d-4b5a-9f42-29fb75b1b990,106.87,215,3008,86,188.19,2022/12/02/[1]5eda3b117f0d44bbb0764ace9f913dbd
1669949119442,8926aa48-5141-4db0-9003-c6b141e4b9d8,126.59,237,3008,88,152.28,2022/12/02/[1]f7b9096c3b684280a59f342207b965f0
1669952719248,dc277754-73ed-495b-a87f-31053881f726,101.04,210,3008,86,170.01,2022/12/02/[1]6a7ab6156104455daeef4ece18b69031
1669956319080,d81bb430-ddb0-4cc3-9ca6-020f7a617f01,109.42,217,3008,87,166.94,2022/12/02/[1]c54ce0b61efa4b0296d84861b1ee9ee2
1669959919184,beba3ac9-8b9f-4a59-bcc3-2472ee79337f,147.76,230,3008,89,132.67,2022/12/02/[1]b3407c6f46364620acff147e5a538e55
1669963519284,0bd7bfde-64eb-4ab8-bd42-14f06eadcaaf,120.99,237,3008,86,176.65,2022/12/02/[1]c6ad718422c5463db6769ad16361333f
1669967119471,33f90bcb-3f08-4a53-90f7-451d136b902a,127.92,211,3008,90,135.86,2022/12/02/[1]1628ce36d95e46ebaac96ce070b41dd5
1669970719429,7a9f3c41-ea96-47f0-a2e3-f262bcdbfaec,103.93,223,3008,86,201.91,2022/12/02/[1]8c09fce460284cea8abf574953ae009e
1669974319268,962612e2-b0dc-40a8-a09d-77891e68d626,107.56,230,3008,86,164.34,2022/12/02/[1]928d7f89b43045379beb1e7e18e24e9e
1669977919499,ed7af97d-14b1-428c-8f9d-9d47ddf907b6,115.09,252,3008,86,177.69,2022/12/02/[1]77f1b1b4dcd14a2a99eecef10e13cf78
1669981519490,300526c5-85a8-4461-be65-45b030513bf9,119.89,247,3008,86,175.21,2022/12/02/[1]29c60b18c8a24e47961efe5228fdf233
1669985119246,48c293ac-593c-411d-97b1-659175159c2e,127.05,259,3008,86,209.02,2022/12/02/[1]7c219aaa177c4e9490b2c30187499d60
1669988719563,16423b6c-4dd8-4a8d-85f0-e0a5f6209cb9,133.91,248,3008,86,183.08,2022/12/02/[1]85613a1f41e8422dbb443ba1edbc8b64
1669992319307,921f8537-a7b3-4a37-a50b-ccb6eac4a659,129.83,229,3008,89,151.94,2022/12/02/[1]ae372bb899ab4b83846e2ae4d394c4ff
1669995919655,7e25c582-ead5-41b1-b2e3-fea0bf3924d2,185.31,366,3008,86,254.75,2022/12/02/[1]ba524a51c80844ae9a172bd56a196f61
1669999519411,9c20e05f-508b-4f0e-bb93-ce1bb87f470e,109.14,182,3008,90,110.22,2022/12/02/[1]901236c5ee754c5f9fdc89d784fca4af
1670003119388,edf66ba5-be07-4811-969b-b3ff180cf5ef,109.09,240,3008,86,196.51,2022/12/02/[1]bc0a80bc21604152aabfe6ed18bf9918
1670006719384,19659000-6c0c-473a-8eeb-e36b68f57bed,146.39,307,3008,86,206.35,2022/12/02/[1]a61bdc0cb7334c1ea99dabb5fbf2087b
1670010319877,8bbc5449-ce9b-4b99-92c4-a27c4848a08b,113.13,258,3008,86,220.00,2022/12/02/[1]8260c326354744d3bcfa2bd12cf41f86
1670013919618,2e7f1f52-a7ab-4529-9d80-257676a1ed07,125.28,274,3008,86,199.32,2022/12/02/[1]d6394abd3d26437b92250aad940dbf65
1670017519388,1647dc57-fa28-4782-921e-f4d61754b3a0,111.64,184,3008,90,126.45,2022/12/02/[1]8c758a5c4e3e4c1bab8b123e3e3e1cab
1670021119215,dc2d38f1-81fe-4a17-b2af-961f996cfd4e,116.32,209,3008,87,136.40,2022/12/02/[1]0785e19f21f0477ea5fb295b5b2b2a78
